condition,drugName,Total_Reviews,Avg_Rating,Median_Rating,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Total_Useful_Votes,Avg_Useful_Votes,Avg_Review_Word_Count,Satisfaction_Rate_Pct
COPD,Umeclidinium / Vilanterol,15,9.27,10.0,14,0,1,614,40.9,65.9,93.3
Human Papillomavirus Prophylaxis,Human Papillomavirus Vaccine,15,6.87,8.0,9,2,4,141,9.4,61.5,60.0
ibromyalgia,Naltrexone,15,7.53,9.0,12,1,2,830,55.3,79.3,80.0
Hot Flashes,Effexor Xr,15,8.8,9.0,14,0,1,1611,107.4,86.7,93.3
Cold Sores,Famciclovir,15,8.67,9.0,14,0,1,280,18.7,97.0,93.3
Pain,Propoxyphene,15,8.0,9.0,12,1,2,93,6.2,50.4,80.0
Major Depressive Disorde,Paroxetine,15,6.53,7.0,9,4,2,204,13.6,82.2,60.0
Tonsillitis/Pharyngitis,Clarithromycin,15,5.93,8.0,8,3,4,126,8.4,96.9,53.3
Stomach Ulce,Pantoprazole,15,6.8,9.0,10,1,4,594,39.6,48.4,66.7
Anxiety,Chlordiazepoxide,15,8.2,10.0,12,1,2,412,27.5,55.7,80.0
Migraine,Caffeine / Ergotamine,15,9.0,10.0,13,2,0,122,8.1,77.9,86.7
Underactive Thyroid,Nature-Throid,15,6.73,9.0,10,0,5,1354,90.3,64.4,66.7
Malaria Prevention,Malarone,15,6.2,8.0,9,1,5,178,11.9,68.9,60.0
Skin or Soft Tissue Infection,Augmentin,15,7.0,8.0,11,2,2,242,16.1,74.1,73.3
"Breast Cancer, Metastatic",Ibrance,15,7.07,9.0,11,0,4,516,34.4,99.9,73.3
Bipolar Disorde,Paliperidone,15,6.93,8.0,10,2,3,336,22.4,91.8,66.7
Birth Control,Ashlyna,15,4.13,3.0,4,2,9,25,1.7,89.2,26.7
Migraine,Cyclobenzaprine,15,6.13,7.0,9,1,5,459,30.6,50.8,60.0
Seizures,Zonegran,15,7.93,9.0,13,0,2,583,38.9,64.6,86.7
"Diabetes, Type 2",Lantus,15,6.93,8.0,9,2,4,391,26.1,74.5,60.0
"COPD, Maintenance",Advair Diskus,15,6.73,7.0,9,3,3,312,20.8,49.9,60.0
Opiate Withdrawal,Methadose,15,8.6,9.0,12,3,0,831,55.4,63.3,80.0
Eczema,Elidel,15,8.13,9.0,11,4,0,305,20.3,59.6,73.3
Migraine,Neurontin,15,8.47,9.0,13,2,0,723,48.2,68.8,86.7
Osteoarthritis,Diclofenac / Misoprostol,15,7.73,9.0,10,4,1,773,51.5,75.9,66.7
Schizoaffective Disorde,Risperdal,15,6.73,6.0,5,10,0,406,27.1,87.3,33.3
Cough and Nasal Congestion,Brompheniramine / Dextromethorphan / Pseudoephedrine,15,6.0,9.0,9,0,6,109,7.3,49.3,60.0
Reflex Sympathetic Dystrophy Syndrome,Gabapentin,15,6.4,7.0,8,4,3,117,7.8,73.2,53.3
Peripheral Neuropathy,Pregabalin,15,7.6,8.0,12,1,2,284,18.9,86.7,80.0
Allergic Urticaria,Hydroxyzine,15,5.93,7.0,8,1,6,453,30.2,90.9,53.3
Multiple Sclerosis,Rebif,15,6.73,8.0,11,1,3,247,16.5,97.8,73.3
Opioid-Induced Constipation,Naloxegol,15,4.73,3.0,7,0,8,101,6.7,94.4,46.7
Depression,Emsam,15,8.53,9.0,14,1,0,958,63.9,94.1,93.3
Obsessive Compulsive Disorde,Paxil,15,8.0,9.0,13,0,2,947,63.1,97.4,86.7
Post Traumatic Stress Disorde,Paxil,15,6.53,9.0,10,0,5,373,24.9,59.8,66.7
Atrial Fibrillation,Rivaroxaban,15,5.47,7.0,8,0,7,678,45.2,69.3,53.3
Acne,Loryna,15,5.8,6.0,7,3,5,51,3.4,120.7,46.7
Urinary Tract Infection,Doxycycline,15,6.93,10.0,9,2,4,721,48.1,57.8,60.0
Atrophic Vaginitis,Vagifem,15,7.67,9.0,10,4,1,666,44.4,52.1,66.7
Myasthenia Gravis,Pyridostigmine,15,7.13,8.0,10,3,2,431,28.7,66.7,66.7
Acne,Bactrim Ds,15,8.53,9.0,13,2,0,227,15.1,93.7,86.7
Bowel Preparation,Golytely,15,6.4,7.0,9,1,5,284,18.9,71.4,60.0
Erectile Dysfunction,Muse,15,5.2,4.0,7,1,7,793,52.9,52.2,46.7
Urinary Tract Infection,Rocephin,15,9.33,10.0,14,1,0,448,29.9,70.3,93.3
Eczema,Desonide,15,9.53,10.0,15,0,0,340,22.7,46.7,100.0
Urinary Tract Infection,Amoxicillin / Clavulanate,15,4.8,4.0,5,3,7,381,25.4,90.3,33.3
Endometriosis,Lupron,14,4.64,3.0,6,1,7,304,21.7,109.4,42.9
ibromyalgia,Elavil,14,5.79,6.0,6,5,3,832,59.4,61.6,42.9
Epilepsy,Lamotrigine,14,7.64,8.5,10,2,2,69,4.9,90.6,71.4
Opiate Withdrawal,Catapres,14,8.43,9.0,13,1,0,1326,94.7,42.6,92.9
"COPD, Maintenance",Fluticasone / Salmeterol,14,7.07,8.0,9,2,3,202,14.4,57.5,64.3
ibromyalgia,Topamax,14,5.5,7.0,7,1,6,664,47.4,61.6,50.0
Vitamin/Mineral Supplementation and Deficiency,Multivitamin With Minerals,14,5.71,7.0,7,2,5,101,7.2,59.9,50.0
Birth Control,Necon 1 / 35,14,6.36,8.0,8,2,4,166,11.9,88.2,57.1
Alopecia,Spironolactone,14,8.21,8.0,11,3,0,1109,79.2,94.7,78.6
"Diabetes, Type 2",Insulin Degludec,14,6.5,7.5,8,2,4,181,12.9,48.6,57.1
Insomnia,Chloral Hydrate,14,8.21,9.0,11,2,1,139,9.9,50.1,78.6
Post Traumatic Stress Disorde,Asenapine,14,8.57,9.0,13,0,1,242,17.3,97.1,92.9
Post Traumatic Stress Disorde,Paroxetine,14,7.21,9.0,10,1,3,307,21.9,60.9,71.4
Post Traumatic Stress Disorde,Risperidone,14,6.86,8.0,8,3,3,314,22.4,73.8,57.1
High Blood Pressure,Candesartan,14,4.64,4.0,6,1,7,350,25.0,26.7,42.9
Acne,Onexton,14,8.36,10.0,12,0,2,125,8.9,112.1,85.7
Postmenopausal Symptoms,Angeliq,14,7.57,9.5,10,1,3,378,27.0,81.0,71.4
Anesthesia,Diprivan,14,8.5,10.0,12,0,2,428,30.6,61.6,85.7
Acne,Microgestin Fe 1 / 20,14,4.29,3.0,4,2,8,125,8.9,83.6,28.6
"Conjunctivitis, Allergic",Lastacaft,14,6.07,9.5,8,0,6,262,18.7,72.6,57.1
Meniere's Disease,Diazepam,14,9.71,10.0,14,0,0,514,36.7,84.9,100.0
High Blood Pressure,Propranolol,14,6.57,8.5,9,1,4,415,29.6,58.9,64.3
Systemic Lupus Erythematosus,Benlysta,14,8.07,9.0,11,2,1,311,22.2,94.4,78.6
Hypertriglyceridemia,Icosapent,14,9.07,10.0,13,0,1,397,28.4,66.8,92.9
Depression,Niacin,14,9.86,10.0,14,0,0,1178,84.1,100.5,100.0
Rheumatoid Arthritis,Celebrex,14,8.43,9.0,13,0,1,838,59.9,47.6,92.9
Migraine,Cambia,14,8.93,10.0,13,0,1,368,26.3,63.0,92.9
Eczema,Pimecrolimus,14,7.5,8.5,9,4,1,240,17.1,58.1,64.3
Primary Immunodeficiency Syndrome,Immune Globulin Subcutaneous,14,6.86,8.5,9,2,3,120,8.6,64.9,64.3
"Diabetes, Type 2",Levemir,14,7.0,9.0,8,3,3,240,17.1,46.7,57.1
Pain,Acetaminophen / Caffeine / Dihydrocodeine,14,8.36,9.5,12,1,1,84,6.0,49.1,85.7
Migraine,Amerge,14,9.36,10.0,14,0,0,227,16.2,63.5,100.0
Sinusitis,Bactrim Ds,14,4.93,4.5,4,5,5,191,13.6,54.4,28.6
Autism,Aripiprazole,14,6.5,7.0,8,3,3,787,56.2,85.7,57.1
High Blood Pressure,Hyzaar,14,7.07,9.0,10,0,4,635,45.4,50.5,71.4
Otitis Media,Amoxicillin / Clavulanate,14,4.5,3.0,4,3,7,125,8.9,50.7,28.6
Dermatitis,Triamcinolone,14,9.93,10.0,14,0,0,302,21.6,39.4,100.0
Rosacea,Minocycline,14,8.36,10.0,11,1,2,238,17.0,63.1,78.6
High Blood Pressure,Lotrel,14,6.29,6.0,5,7,2,471,33.6,32.7,35.7
Seasonal Allergic Conjunctivitis,Pataday,14,6.86,8.0,9,1,4,151,10.8,57.0,64.3
Schizophrenia,Seroquel,14,5.71,7.5,8,1,5,320,22.9,113.4,57.1
High Blood Pressure,Hydrochlorothiazide / Valsartan,14,6.71,8.0,8,4,2,465,33.2,53.2,57.1
"Diabetes, Type 2",Insulin Detemir,14,7.07,8.5,8,4,2,171,12.2,47.0,57.1
Schizoaffective Disorde,Seroquel,14,7.36,9.0,9,3,2,338,24.1,68.8,64.3
Upper Respiratory Tract Infection,Doxycycline,14,5.79,5.0,6,5,3,543,38.8,57.6,42.9
Malaria Prevention,Atovaquone / Proguanil,14,5.57,7.5,8,0,6,177,12.6,67.7,57.1
Heart Failure,Coreg,14,9.71,10.0,14,0,0,605,43.2,48.3,100.0
Pain,Zipsor,14,8.07,9.0,12,0,2,359,25.6,65.7,85.7
Barrett's Esophagus,Esomeprazole,14,8.71,10.0,11,3,0,453,32.4,44.5,78.6
Skin or Soft Tissue Infection,Doxycycline,14,7.21,8.5,10,2,2,232,16.6,70.2,71.4
Hemorrhoids,Pramoxine,14,9.57,10.0,13,1,0,133,9.5,48.4,92.9
Allergic Rhinitis,Claritin,14,3.57,3.0,3,2,9,297,21.2,28.4,21.4
Hashimoto's disease,Tirosint,14,8.93,10.0,13,0,1,852,60.9,97.4,92.9
Smoking Cessation,Nicotrol Inhaler,14,8.07,10.0,11,1,2,488,34.9,88.3,78.6
High Blood Pressure,Tribenzor,14,7.36,8.0,10,3,1,179,12.8,64.4,71.4
Allergic Rhinitis,Drixoral Cold And Allergy,14,9.93,10.0,14,0,0,172,12.3,35.0,100.0
Smoking Cessation,Commit,14,8.93,9.0,14,0,0,170,12.1,81.6,100.0
Back Pain,Voltaren,14,8.79,9.5,12,2,0,432,30.9,46.0,85.7
Neuralgia,Nortriptyline,14,8.14,8.0,12,2,0,462,33.0,78.3,85.7
Constipation,Fleet Enema,14,9.21,10.0,13,1,0,192,13.7,66.9,92.9
ibromyalgia,Skelaxin,14,8.14,9.0,12,2,0,631,45.1,46.4,85.7
Rheumatoid Arthritis,Mobic,14,6.86,8.0,10,1,3,778,55.6,42.0,71.4
Non-Small Cell Lung Cance,Nivolumab,14,5.36,4.5,7,0,7,297,21.2,94.6,50.0
Rheumatoid Arthritis,Arava,14,6.36,7.5,9,2,3,1379,98.5,60.4,64.3
Ulcerative Colitis,Humira,14,6.14,8.0,8,1,5,315,22.5,90.2,57.1
Migraine Prevention,Depakote Er,13,6.92,8.0,9,2,2,353,27.2,84.1,69.2
ibromyalgia,Desvenlafaxine,13,8.15,9.0,11,1,1,252,19.4,86.0,84.6
High Cholesterol,Vytorin,13,7.62,9.0,9,1,3,382,29.4,38.8,69.2
Depression,Symbyax,13,8.85,9.0,12,1,0,435,33.5,76.6,92.3
Hirsutism,Spironolactone,13,7.46,8.0,10,1,2,600,46.2,107.4,76.9
Oophorectomy,Estradiol,13,6.54,8.0,8,2,3,245,18.8,77.6,61.5
Diarrhea,Loperamide,13,8.38,10.0,11,0,2,175,13.5,30.2,84.6
ADHD,Evekeo,13,7.54,8.0,10,2,1,142,10.9,67.5,76.9
Rheumatoid Arthritis,Tocilizumab,13,8.08,9.0,11,2,0,543,41.8,104.3,84.6
Insomnia,Ativan,13,8.31,9.0,12,0,1,1498,115.2,55.8,92.3
Insomnia,Flurazepam,13,8.92,9.0,11,2,0,353,27.2,88.0,84.6
Depression,Armodafinil,13,6.85,8.0,8,2,3,375,28.8,76.9,61.5
Atrial Fibrillation,Rythmol Sr,13,9.38,10.0,13,0,0,541,41.6,57.8,100.0
Alzheimer's Disease,Aricept,13,5.15,4.0,6,2,5,1404,108.0,67.8,46.2
"Diabetes, Type 1",Tresiba,13,4.38,3.0,4,2,7,203,15.6,107.6,30.8
Obsessive Compulsive Disorde,Quetiapine,13,8.69,10.0,12,0,1,328,25.2,58.8,92.3
Postmenopausal Symptoms,Estradiol / Levonorgestrel,13,4.54,5.0,4,3,6,80,6.2,62.7,30.8
Borderline Personality Disorde,Seroquel,13,7.46,8.0,10,2,1,561,43.2,87.7,76.9
Light Anesthesia,Midazolam,13,4.69,1.0,5,1,7,129,9.9,75.1,38.5
Hypertriglyceridemia,Vascepa,13,8.77,10.0,11,1,1,359,27.6,50.5,84.6
Seasonal Allergic Conjunctivitis,Patanol,13,8.31,10.0,10,2,1,187,14.4,48.5,76.9
Multiple Sclerosis,Modafinil,13,9.23,9.0,12,1,0,471,36.2,83.7,92.3
Chronic Myelogenous Leukemia,Tasigna,13,8.23,10.0,9,3,1,297,22.8,65.3,69.2
Multiple Sclerosis,Provigil,13,9.54,10.0,13,0,0,561,43.2,86.2,100.0
Bipolar Disorde,Effexor,13,8.0,9.0,11,0,2,363,27.9,35.7,84.6
Headache,Aspirin / Butalbital / Caffeine,13,9.31,10.0,12,1,0,196,15.1,57.0,92.3
Irritable Bowel Syndrome,Lotronex,13,9.69,10.0,13,0,0,280,21.5,77.5,100.0
Narcolepsy,Ritalin,13,8.0,9.0,11,1,1,771,59.3,82.1,84.6
"Diabetes, Type 1",Insulin Glargine,13,4.85,4.0,5,2,6,178,13.7,67.3,38.5
"Asthma, Maintenance",Albuterol,13,6.38,8.0,9,1,3,146,11.2,41.5,69.2
Emergency Contraception,My Way,13,8.23,9.0,11,0,2,84,6.5,88.9,84.6
GERD,Zantac,13,7.23,8.0,10,1,2,568,43.7,59.0,76.9
Upper Respiratory Tract Infection,Augmentin,13,6.23,9.0,8,0,5,280,21.5,73.1,61.5
Migraine,Migranal,13,7.08,8.0,9,1,3,189,14.5,83.0,69.2
Shift Work Sleep Disorde,Modafinil,13,8.15,9.0,11,0,2,411,31.6,78.2,84.6
Bronchitis,Biaxin,13,5.08,6.0,6,1,6,422,32.5,60.5,46.2
Skin or Soft Tissue Infection,Keflex,13,7.54,9.0,10,0,3,605,46.5,40.2,76.9
Atrial Fibrillation,Xarelto,13,5.31,7.0,7,0,6,624,48.0,70.0,53.8
Postmenopausal Symptoms,Femring,13,8.15,10.0,11,0,2,211,16.2,69.9,84.6
Postmenopausal Symptoms,Premarin,13,8.69,10.0,11,1,1,669,51.5,89.8,84.6
Insomnia,Halcion,13,9.31,9.0,13,0,0,461,35.5,36.9,100.0
Precocious Puberty,Leuprolide,13,6.92,8.0,9,2,2,257,19.8,94.7,69.2
Prostatitis,Cipro,13,3.92,3.0,3,2,8,286,22.0,63.5,23.1
Acute Coronary Syndrome,Effient,13,7.54,9.0,9,3,1,302,23.2,58.1,69.2
Unknown,Lo Loestrin Fe,13,5.46,7.0,7,1,5,82,6.3,94.8,53.8
Insomnia,Acetaminophen / Diphenhydramine,13,6.38,8.0,8,1,4,305,23.5,52.2,61.5
Premenstrual Dysphoric Disorde,Gianvi,13,7.0,8.0,9,1,3,141,10.8,89.6,69.2
Headache,Ibuprofen,13,8.31,10.0,11,0,2,92,7.1,35.2,84.6
Panic Disorde,Xanax Xr,13,9.08,10.0,12,0,1,517,39.8,93.1,92.3
Barrett's Esophagus,Nexium,13,8.54,9.0,10,3,0,466,35.8,40.1,76.9
High Cholesterol,Alirocumab,13,6.15,7.0,7,2,4,273,21.0,71.2,53.8
Insomnia,Klonopin,13,9.08,10.0,12,0,1,1229,94.5,94.7,92.3
Depression,Fluoxetine / Olanzapine,13,9.15,9.0,13,0,0,398,30.6,81.3,100.0
"High Cholesterol, Familial Heterozygous",Evolocumab,13,7.92,10.0,9,2,2,286,22.0,65.2,69.2
Renal Cell Carcinoma,Sutent,13,7.46,9.0,10,0,3,674,51.8,66.5,76.9
Allergic Rhinitis,Dexbrompheniramine / Pseudoephedrine,13,9.85,10.0,13,0,0,155,11.9,38.2,100.0
Schizophrenia,Invega Sustenna,13,6.62,8.0,8,2,3,208,16.0,66.9,61.5
Restless Legs Syndrome,Horizant,13,7.69,9.0,9,2,2,459,35.3,63.8,69.2
"Herpes Simplex, Suppression",Acyclovir,13,9.31,9.0,13,0,0,461,35.5,72.6,100.0
"Ischemic Stroke, Prophylaxis",Aggrenox,13,6.46,8.0,8,1,4,433,33.3,56.5,61.5
Autism,Risperdal,13,4.31,4.0,3,4,6,794,61.1,62.7,23.1
Bacterial Infection,Rocephin,13,8.54,10.0,11,1,1,171,13.2,71.5,84.6
Bacterial Infection,Levaquin,13,5.92,5.0,6,2,5,285,21.9,57.2,46.2
Pain,Roxicet,13,8.0,9.0,10,1,2,251,19.3,55.0,76.9
Major Depressive Disorde,Wellbutrin Sr,13,7.69,9.0,10,1,2,422,32.5,87.8,76.9
Barrett's Esophagus,Dexlansoprazole,13,8.77,10.0,12,0,1,349,26.8,66.0,92.3
Human Papilloma Virus,Aldara,13,7.77,9.0,10,1,2,407,31.3,101.8,76.9
Hot Flashes,Fluoxetine,13,8.0,9.0,11,0,2,356,27.4,87.8,84.6
Systemic Lupus Erythematosus,Belimumab,13,8.08,9.0,10,3,0,269,20.7,88.2,76.9
Ulcerative Colitis,Azathioprine,13,6.85,7.0,9,2,2,282,21.7,70.8,69.2
COPD,Anoro Ellipta,13,9.62,10.0,13,0,0,561,43.2,67.9,100.0
COPD,Breo Ellipta,13,7.77,10.0,10,0,3,532,40.9,51.8,76.9
COPD,Fluticasone / Vilanterol,13,6.77,10.0,8,0,5,494,38.0,58.1,61.5
Bronchitis,Augmentin,13,8.85,10.0,12,0,1,425,32.7,42.7,92.3
Constipation,Correctol,13,4.92,5.0,4,4,5,147,11.3,64.3,30.8
Migraine Prevention,Atenolol,13,8.85,10.0,11,2,0,376,28.9,62.5,84.6
Major Depressive Disorde,Paxil,13,9.0,10.0,13,0,0,350,26.9,89.8,100.0
Benign Prostatic Hyperplasia,Doxazosin,13,7.54,9.0,10,1,2,509,39.2,60.6,76.9
Urinary Tract Infection,Ceftriaxone,13,9.31,10.0,12,1,0,336,25.8,69.2,92.3
Acne,Junel Fe 1 / 20,13,5.92,7.0,8,1,4,130,10.0,112.7,61.5
Otitis Media,Augmentin,13,4.92,4.0,4,4,5,139,10.7,51.0,30.8
Otitis Media,Ciprodex,13,7.23,8.0,9,2,2,207,15.9,38.9,69.2
"Nausea/Vomiting, Chemotherapy Induced",Dronabinol,12,8.42,9.0,11,0,1,327,27.2,68.7,91.7
mulation) (phenylephrine),Phenylephrine,12,6.0,9.0,7,0,5,56,4.7,44.1,58.3
Epilepsy,Depakote Er,12,7.75,8.0,10,1,1,157,13.1,59.2,83.3
ADHD,Kapvay,12,7.83,8.5,10,1,1,983,81.9,119.2,83.3
Vaginal Yeast Infection,Monistat 1-Day Or Night Combination Pack,12,1.42,1.0,0,0,12,87,7.2,78.3,0.0
Abnormal Uterine Bleeding,Trinessa,12,5.83,7.0,7,1,4,52,4.3,103.4,58.3
GERD,Zegerid,12,7.83,9.5,9,1,2,230,19.2,89.8,75.0
Birth Control,Nortrel 1 / 35,12,4.83,4.0,4,4,4,35,2.9,108.2,33.3
Allergic Rhinitis,Astepro,12,8.75,9.5,11,0,1,228,19.0,41.0,91.7
Surgical Prophylaxis,Clindamycin,12,4.83,4.0,5,2,5,77,6.4,81.6,41.7
Systemic Lupus Erythematosus,Plaquenil,12,7.5,8.5,9,1,2,839,69.9,81.2,75.0
"Diarrhea, Chronic",Welchol,12,9.75,10.0,12,0,0,1208,100.7,83.9,100.0
Heart Attack,Plavix,12,9.0,10.0,11,0,1,1332,111.0,70.2,91.7
Benign Prostatic Hyperplasia,Jalyn,12,6.0,6.5,6,2,4,518,43.2,33.9,50.0
Pain,Naloxone / Pentazocine,12,6.58,8.0,9,0,3,358,29.8,65.3,75.0
"Conjunctivitis, Allergic",Bepreve,12,6.67,9.0,7,1,4,59,4.9,46.3,58.3
Menstrual Disorders,Gianvi,12,5.42,5.0,5,3,4,65,5.4,100.2,41.7
Menstrual Disorders,Junel Fe 1 / 20,12,4.25,4.0,2,4,6,43,3.6,122.8,16.7
Nausea/Vomiting,Diphenhydramine,12,7.0,9.0,8,1,3,380,31.7,44.0,66.7
Tonsillitis/Pharyngitis,Amoxicillin,12,7.75,8.5,8,4,0,283,23.6,52.9,66.7
Ulcerative Colitis,Adalimumab,12,6.0,8.5,7,0,5,295,24.6,107.0,58.3
Pain,Trolamine Salicylate,12,8.5,10.0,11,0,1,288,24.0,56.2,91.7
"Constipation, Drug Induced",Amitiza,12,5.83,7.0,6,1,5,309,25.8,90.6,50.0
Constipation,Docusate,12,6.67,7.5,7,3,2,386,32.2,59.2,58.3
Major Depressive Disorde,Trazodone,12,7.0,8.5,9,0,3,326,27.2,71.6,75.0
"Conjunctivitis, Allergic",Alcaftadine,12,6.75,10.0,8,0,4,185,15.4,68.4,66.7
Social Anxiety Disorde,Effexor Xr,12,8.08,9.5,9,1,2,526,43.8,67.8,75.0
Social Anxiety Disorde,Venlafaxine,12,8.42,9.5,10,1,1,204,17.0,62.5,83.3
Bacterial Infection,Avelox,12,5.83,8.0,7,0,5,146,12.2,70.4,58.3
Light Sedation,Midazolam,12,6.25,9.0,7,0,5,137,11.4,70.9,58.3
Light Sedation,Versed,12,4.83,2.0,5,0,7,144,12.0,75.2,41.7
Labor Pain,Butorphanol,12,7.42,10.0,8,1,3,52,4.3,72.8,66.7
Back Pain,Vicodin,12,6.75,8.5,7,2,3,480,40.0,51.8,58.3
Heart Failure,Sacubitril / Valsartan,12,4.75,4.5,4,3,5,418,34.8,89.3,33.3
Migraine,Imitrex Statdose,12,8.17,9.5,9,2,1,32,2.7,60.6,75.0
Unknown,Trinessa,12,4.58,5.0,3,4,5,25,2.1,100.6,25.0
Unknown,Yaz,12,6.58,7.5,7,3,2,43,3.6,96.2,58.3
Alcohol Dependence,Vivitrol,12,8.5,9.0,11,0,1,1197,99.8,76.2,91.7
Lactose Intolerance,Lactase,12,4.33,2.0,4,1,7,105,8.8,53.8,33.3
Hemorrhoids,Hydrocortisone / Pramoxine,12,8.0,10.0,9,1,2,224,18.7,48.8,75.0
High Blood Pressure,Azilsartan Medoxomil,12,5.75,6.0,6,1,5,170,14.2,80.0,50.0
Skin or Soft Tissue Infection,Clarithromycin,12,3.75,2.5,3,3,6,27,2.2,92.4,25.0
"Diabetes, Type 2",Tresiba,12,7.25,10.0,8,1,3,182,15.2,41.2,66.7
Sinusitis,Biaxin,12,6.58,8.0,7,2,3,425,35.4,68.5,58.3
Pneumococcal Disease Prophylaxis,Pneumococcal 13-Valent Vaccine,12,4.17,3.5,3,3,6,39,3.2,84.3,25.0
Pneumonia,Rocephin,12,8.75,10.0,10,1,1,255,21.2,73.2,83.3
Birth Control,Vienva,12,4.83,3.0,5,1,6,37,3.1,94.3,41.7
Osteoarthritis,Capsaicin,12,6.0,8.0,7,1,4,262,21.8,64.5,58.3
Birth Control,Azurette,12,6.75,8.0,9,0,3,59,4.9,75.7,75.0
Pain,Capsaicin,12,6.75,8.5,8,1,3,204,17.0,78.9,66.7
Dysuria,Uricalm,12,6.92,10.0,8,0,4,203,16.9,65.8,66.7
Unknown,Jolessa,12,4.92,5.0,3,4,5,30,2.5,77.2,25.0
Acute Coronary Syndrome,Brilinta,12,3.67,3.0,3,2,7,204,17.0,72.2,25.0
Overactive Bladde,Detrol,12,7.33,9.0,7,4,1,407,33.9,36.4,58.3
Postmenopausal Symptoms,Climara Pro,12,4.83,5.0,4,3,5,77,6.4,67.4,33.3
Sinusitis,Ciprofloxacin,12,7.75,9.0,8,2,2,376,31.3,62.6,66.7
Sinusitis,Clindamycin,12,6.58,8.0,7,2,3,611,50.9,75.2,58.3
"Diabetes, Type 2",Lantus Solostar,12,7.75,8.5,9,2,1,197,16.4,70.8,75.0
Hiccups,Chlorpromazine,12,8.92,10.0,11,0,1,221,18.4,70.3,91.7
Irritable Bowel Syndrome,Donnatal,12,9.42,10.0,12,0,0,536,44.7,67.4,100.0
Postpartum Depression,Celexa,12,7.33,9.5,9,0,3,370,30.8,93.2,75.0
Insomnia,Zyprexa,12,7.17,7.5,8,2,2,572,47.7,78.7,66.7
Post-Cholecystectomy Diarrhea,Cholestyramine,12,8.25,9.0,10,1,1,84,7.0,88.7,83.3
Atrial Fibrillation,Multaq,12,6.42,8.0,7,2,3,453,37.8,51.8,58.3
Seborrheic Dermatitis,Ketoconazole,12,7.58,10.0,9,0,3,323,26.9,58.2,75.0
Atrophic Urethritis,Estradiol,12,4.42,4.0,3,4,5,257,21.4,73.0,25.0
Opiate Withdrawal,Methadone Diskets,12,9.17,10.0,11,1,0,489,40.8,76.9,91.7
Prevention of Bladder infection,Macrobid,12,6.25,8.5,7,0,5,529,44.1,67.6,58.3
Chronic Spasticity,Baclofen,12,6.5,7.0,6,4,2,333,27.8,57.6,50.0
Otitis Externa,Ciprodex,12,5.58,6.5,6,1,5,27,2.2,69.2,50.0
Sciatica,Diclofenac,12,7.58,8.5,8,3,1,454,37.8,32.5,66.7
Myasthenia Gravis,Mycophenolate Mofetil,12,8.33,9.5,11,0,1,362,30.2,72.6,91.7
Psoriasis,Fluocinonide,12,7.58,9.0,9,0,3,235,19.6,44.1,75.0
Depression,Budeprion Xl,12,7.33,8.0,7,5,0,130,10.8,73.7,58.3
Rosacea,Metrogel,12,7.92,9.0,10,0,2,566,47.2,49.6,83.3
Rosacea,Sulfacetamide Sodium / Sulfur,12,8.5,9.0,11,0,1,225,18.8,61.6,91.7
Dermatitis,Clobetasol,12,9.67,10.0,12,0,0,172,14.3,59.6,100.0
Nasal Congestion,Vicks Sinex Nasal Spray (Old Formulation),12,6.08,9.0,7,0,5,56,4.7,39.9,58.3
Depression,Fluvoxamine,12,6.75,8.0,8,1,3,275,22.9,39.0,66.7
"Hypothyroidism, After Thyroid Removal",Armour Thyroid,12,7.0,9.0,8,1,3,726,60.5,85.6,66.7
Renal Cell Carcinoma,Sunitinib,12,8.33,9.0,11,0,1,697,58.1,82.0,91.7
High Cholesterol,Praluent,12,6.33,8.0,7,1,4,279,23.2,81.0,58.3
High Cholesterol,Zocor,12,6.0,6.0,6,2,4,971,80.9,53.4,50.0
GERD,Kapidex,12,8.83,10.0,10,2,0,144,12.0,52.9,83.3
Eczema,Dupixent,12,7.42,8.0,9,1,2,203,16.9,101.9,75.0
Acne,Finacea,12,8.25,9.0,10,1,1,327,27.2,70.2,83.3
Epilepsy,Perampanel,11,5.73,6.0,5,2,4,125,11.4,90.5,45.5
acial Wrinkles,Dermal Filler,11,7.09,9.0,8,0,3,137,12.5,53.5,72.7
Abnormal Uterine Bleeding,Loseasonique,11,4.36,5.0,2,4,5,82,7.5,102.1,18.2
Weight Loss,Megestrol,11,8.64,10.0,10,0,1,366,33.3,91.0,90.9
ibromyalgia,Pristiq,11,7.09,9.0,8,1,2,197,17.9,71.6,72.7
ADHD,Mydayis,11,4.73,4.0,4,2,5,108,9.8,88.5,36.4
Abnormal Uterine Bleeding,Estarylla,11,4.18,3.0,4,1,6,43,3.9,83.5,36.4
Osteoporosis,Fosamax,11,3.36,2.0,2,1,8,1910,173.6,74.0,18.2
Birth Control,Loestrin 21 1 / 20,11,5.0,3.0,5,0,6,62,5.6,76.4,45.5
Osteoarthritis,Pennsaid,11,8.82,10.0,10,0,1,364,33.1,62.4,90.9
Migraine Prevention,Clonazepam,11,7.55,8.0,10,0,1,337,30.6,71.1,90.9
Otitis Media,Omnicef,11,7.0,6.0,5,5,1,148,13.5,49.8,45.5
Otitis Media,Clarithromycin,11,7.55,9.0,8,1,2,91,8.3,87.5,72.7
Migraine Prevention,Zonegran,11,7.55,8.0,9,1,1,541,49.2,79.7,81.8
Overactive Bladde,Ditropan,11,4.09,2.0,2,3,6,296,26.9,41.0,18.2
